timestamp,symbol,open,high,low,close,volume,trade_count,vwap
2024-01-01 00:00:00+00:00,BTC/USD,42274.085,42526.985,42264.413,42469.885,2.3794e-05,1.0,42461.517
2024-01-01 01:00:00+00:00,BTC/USD,42459.8,42761.559,42416.165,42601.253,0.000364124,2.0,42733.877938
2024-01-01 02:00:00+00:00,BTC/USD,42618.355,42630.539,42503.8755,42563.6835,0.000126683,2.0,42556.883239
2024-01-01 03:00:00+00:00,BTC/USD,42562.55,42586.47,42244.16,42332.0085,0.000223498,2.0,42338.815531
2024-01-01 04:00:00+00:00,BTC/USD,42323.305,42388.675,42205.5015,42388.675,2.3498e-05,1.0,42337.461
2024-01-01 05:00:00+00:00,BTC/USD,42374.616,42374.616,42183.9675,42214.8,0.002390907,3.0,42265.037806
2024-01-01 06:00:00+00:00,BTC/USD,42212.57,42434.16,42212.57,42412.35,0.00026784,2.0,42374.150553
2024-01-01 07:00:00+00:00,BTC/USD,42427.154,42506.398,42427.154,42497.371,0.000155402,2.0,42488.393433
2024-01-01 08:00:00+00:00,BTC/USD,42497.6885,42555.1355,42467.2515,42555.1355,2.3498e-05,1.0,42509.101
2024-01-01 09:00:00+00:00,BTC/USD,42563.286,42691.25,42541.78,42639.755,0.000865423,3.0,42671.530403
2024-01-01 10:00:00+00:00,BTC/USD,42651.9,42742.9,42631.32,42696.4915,0.013696203,3.0,42657.165893
2024-01-01 11:00:00+00:00,BTC/USD,42704.175,42765.22,42609.176,42707.11,0.281225661,4.0,42671.085575
2024-01-01 12:00:00+00:00,BTC/USD,42715.005,42763.1415,42627.265,42646.8785,0.000423498,2.0,42712.063691
2024-01-01 13:00:00+00:00,BTC/USD,42661.835,42778.231,42622.245,42719.63,0.000137328,2.0,42747.010805
2024-01-01 14:00:00+00:00,BTC/USD,42701.4915,42701.4915,42592.492,42623.73,0.115336611,5.0,42649.249724
2024-01-01 15:00:00+00:00,BTC/USD,42641.86,42847.065,42599.0795,42787.6845,0.013667504,14.0,42682.260539
2024-01-01 16:00:00+00:00,BTC/USD,42802.625,42877.4125,42682.8425,42745.45,0.000123498,2.0,42797.423388
2024-01-01 17:00:00+00:00,BTC/USD,42753.748,42841.835,42713.6,42819.89,0.015283258,4.0,42780.139581
2024-01-01 18:00:00+00:00,BTC/USD,42835.375,43216.1835,42835.375,43117.101,0.010219545,5.0,43128.634457
